2022-02-26 03:31:49,healingfs,"heal! Aku lagi jalanin penelitian nih guys untuk ngerancang sebuah aplikasi. Nah, kalau kamu memiliki masalah kesehatan mental dan pernah merasakan keinginan bnh d1r1, bantu saya dengan mengisi formulir berikut (di reply). Semoga kita bisa nemu solusi!"
2022-02-26 03:25:27,MamiaAja,"@hostingcounter kita ber tgg jawab atas kesehatan mental masing2, kaaaaaan?"
2022-02-26 03:25:25,Bhrolvrr_,Pilih lah manusia yang baik untuk kesehatan mental ⚙️ https://t.co/Cz2Wh5rwJB
2022-02-26 03:21:39,Suprihariadi,@Denna__aja Emang kesehatan mental bisa turun?
2022-02-26 03:19:42,Denna__aja,"Liat jg kesehatan mental calon pasangan...krn ini jg menurun ke anak keturunan..Kalo cari pasangan yg ganteng atau cantik aja tapi mentalnya gak sehat/ada gangguan mental kayak artis yg  dulu marah2 di yutub, itu ternyata bapaknya punya gangguan mental jd nurun ke dia."
2022-02-26 03:19:34,staytogether01,"Dampak Musik Jin BTS - Dikutip dari Naver.Terpilih sebagai salah satu musisi Asia, yang membantu menghilangkan stigma masalah kesehatan mental melalui lagunya, 'Abyss.' Jin berkontribusi pada obat, penyembuhan, dan simpati yang diberikan oleh music.+#BTSJIN #SuperTuna_Jin https://t.co/qeo4qUH1d1"
2022-02-26 03:07:36,hafiznurahmad,"@Meowingmeback @vityasbaby paling lambat sebulan lg lah sampe keluar pengakuan kalo dia punya masalah kesehatan mental, biar rakyat twitter kembali simpati"
2022-02-26 03:03:04,wow_keren,"Ayu Aulia Nyesel Sempat Ingin Bunuh Diri, Ngaku Nekat Gegara Punya Masalah Kesehatan Mental #AyuAulia https://t.co/rkPe154WNX https://t.co/1hGxQDitbB"
2022-02-26 02:49:59,loveskimchi,"@JunieNie1 Iya, aku menyadari bahwa self diagnose dalam kesehatan mental aja sangatlah haram dilakukan karena dikhawatirkan akan menimbulkan psikosomatik. Apalagi accusing somebody else about their mental illness. Makanya aku klarifikasi. Makasih insightnyaa"
2022-02-26 02:46:22,Reyyy112,@ladilbolala kesehatan mental healthy
2022-02-26 02:45:09,annisapus20,"@Askrlfess Jangan kan crush, temenku kaya gitu sekali dua kali langsung aku byeeee, gabaik buat kesehatan mental hoek😋"
2022-02-26 02:37:09,uname_d,@ladilbolala Kalo pola hidup sehat ka?Secara ga langsung berdampak sama kesehatan mental
2022-02-26 02:36:39,Cilokba__,@maudlinamida @worksfess Bener yaa kesehatan mental penting boss );
